id_Referee,Name,Nationality
0,Pierluigi Collina,Italy
1,Horacio Elizondo,Argentina
2,Howard Webb,England
3,Nicola Rizzoli,Italy
4,Nestor Pitana,Argentina
5,Said Belqola,Morocco
6,Sandor Puhl,Hungary
7,Edgardo Codesal,Mexico
8,Romualdo Arppi Filho,Brazil
9,Arnaldo C̩sar Coelho,Brazil
10,Sergio Gonella,Italy
11,Jack Taylor,England
12,Rudi Glockner,East Germany
13,Gottfried Dienst,Switzerland
14,Nikolay Latyshev,URSS
15,Maurice Guigue,France
16,William Ling,England
17,George Reader,England
18,Georges Capdeville,France
19,Ivan Eklind,Sweden
20,John Langenus,Belgium
21,Kim Young-Joo,South Korea
22,Anders Frisk,Sweden
23,Gamal Al-Ghandour,Egypt
24,Peter Prendergast,Jamaica
25,Felipe Ramos,Mexico
26,Kim Milton Nielsen,Denmark
27,Ubaldo Aquino,Paraguay
28,Lopez Nieto,Spain
29,Carlos Batres,Guatemala
30,Hugh Dallas,Scotland
31,Urs Meier,Switzerland
32,Saad Al-Fadhli,Kuwait
33,Toru Kamikawa,Japan
34,Carlos Simon,Brazil
35,Jorge Larrionda,Uruguay
36,Benito Archundia,Mexico
37,Medina Cantalejo,Spain
38,Frank de Bleeckere,Belgium
39,Valentin Ivanov,Russia
40,Roberto Rosetti,Italy
41,Lubos Michel,Slovakia
42,Massimo Busacca,Switzerland
43,Oscar Ruiz,Colombia
44,Byron Moreno,Ecuador
45,Ali Bujsaim,United Arab Emirates
46,Philip Don,England
47,Jamal Al Sharif,Syria
48,Arturo Brizio Carter,Mexico
49,Jose Antonio Wright,Brazil
50,Michel Vautrot,France
51,Kurt Rothlisberger,Switzerland
52,Marco Rodriguez,Mexico
53,Mario van der Ende,Netherlands
54,Esfandiar Baharmast,United States of America
55,Marcio Rezende de Freitas,Brazil
56,Pirom Un-prasert,Thailand
57,Jose Maria Garcia-Aranda,Spain
58,Stephane Lannoy,France