id_World_Cup,Year,host_id,Edition,Num_Participants,champion,second_place,third_place,fourth_place
0,1930,15,1st,13,39,14,2,31
1,1934,7,2nd,16,18,52,8,26
2,1938,1,3rd,15,18,57,4,5
3,1950,5,4th,13,39,4,5,9
4,1954,14,5th,16,8,57,26,39
5,1958,13,6th,16,4,5,27,8
6,1962,12,7th,16,4,52,25,31
7,1966,11,8th,16,33,8,44,6
8,1970,8,9th,16,4,18,8,39
9,1974,3,10th,16,8,20,45,4
10,1978,10,11th,16,14,20,4,18
11,1982,9,12th,24,18,8,45,27
12,1986,8,13th,24,14,8,27,22
13,1990,7,14th,24,8,14,18,33
14,1994,0,15th,24,4,18,5,13
15,1998,1,16th,32,27,4,35,20
16,2002,2,17th,32,4,8,41,10
17,2006,3,18th,32,18,27,8,44
18,2010,4,19th,32,9,20,8,39
19,2014,5,20th,32,8,14,20,4
20,2018,6,21th,32,27,35,22,33
21,2022,16,22th,32,null,null,null,null
22,2026,17,23th,64,null,null,null,null